"Theta_x","Theta_y","Estimated Theta_x","Estimated Theta_y"
21.921,-47.94856558,22.384,70.32085884,
21.944,-48.13112745,22.411,70.32085884,
21.984,-48.43682443,22.451,70.32085884,
21.984,-48.6309129,22.464,70.78897116,
22.041,-48.97174148,22.511,70.78897116,
22.091,-49.79011868,22.534,70.78897116,
22.114,-50.21515621,22.584,69.78996719,
22.154,-50.80472225,22.621,69.78996719,
22.171,-51.07186568,22.641,67.56613586,
22.224,-51.55537432,22.671,67.56613586,
22.244,-52.04848312,22.691,67.56613586,
22.281,-52.5066967,22.731,67.56613586,
22.321,-53.07365106,22.791,68.73693683,
22.344,-53.33324257,22.814,68.73693683,
22.384,-53.66605771,22.891,68.11620569,
22.411,-54.07236495,22.891,68.11620569,
22.431,-54.62191211,22.914,68.40860836,
22.464,-54.89408142,22.924,68.40860836,
22.511,-55.49138312,23.001,68.61760526,
22.534,-55.59768299,23.024,68.61760526,
22.584,-56.14133376,23.044,65.93526652,
22.621,-57.30321726,23.094,65.93526652,
22.641,-57.60009519,23.111,65.98422221,
22.671,-58.06167045,23.154,66.37753176,
22.691,-58.1962501,23.184,67.08343685,
22.731,-58.6757402,23.191,67.08343685,
22.791,-59.72534871,23.254,67.08343685,
22.814,-60.27028413,23.274,66.87216578,
22.891,-60.81488637,23.284,66.87216578,
22.891,-60.92187221,23.284,66.87216578,
22.914,-61.93047326,23.374,66.76396976,
22.924,-62.1297822,23.374,66.76396976,
23.001,-63.02802872,23.434,66.76396976,
23.024,-63.5748803,23.474,66.76396976,
23.044,-64.07775509,23.514,66.58269678,
23.094,-64.53606366,23.554,66.58269678,
23.111,-65.1189675,23.564,66.58269678,
23.151,-65.61153939,23.621,66.58269678,
23.184,-65.89856937,23.661,68.3651107,
23.191,-66.32601538,23.671,68.3651107,
23.244,-66.81578157,23.694,68.3651107,
23.274,-67.51340356,23.751,68.75001026,
23.284,-68.1532175,23.794,66.87053645,
23.284,-68.1532175,23.821,66.87053645,
23.374,-69.53486469,23.854,66.87053645,
23.374,-69.53486469,23.874,66.94510777,
23.434,-69.71884527,23.894,66.94510777,
23.474,-70.64687549,23.984,67.52610734,
23.514,-71.39161438,23.984,67.52610734,
23.554,-72.25810932,24.011,67.61835262,
23.564,-72.66600236,24.031,67.61835262,
23.594,-73.07992789,24.094,67.61835262,
23.661,-74.15111941,24.101,67.63200953,
23.671,-74.15111941,24.154,67.63200953,
23.694,-74.65633634,24.184,67.63200953,
23.751,-75.29590954,24.211,67.63200953,
23.794,-76.06483234,24.221,67.63200953,
23.821,-76.57707006,24.261,67.63200953,
23.854,-77.2828557,24.304,67.63200953,
23.874,-77.69510105,24.354,67.59221244,
23.891,-78.17392291,24.374,65.67181321,
23.964,-79.10946095,24.421,65.67181321,
23.984,-79.52566218,24.444,65.35054551,
24.011,-80.06454174,24.484,65.35054551,
24.031,-80.38760989,24.521,65.35054551,
24.094,-81.20213706,24.544,65.35054551,
24.101,-81.77571395,24.571,66.10629923,
24.154,-82.19388588,24.594,66.10629923,
24.184,-82.86087719,24.611,66.10629923,
24.211,-83.19550124,24.681,66.10629923,
24.221,-83.90376666,24.714,65.40220743,
24.261,-84.48945284,24.754,65.10872904,
24.304,-85.22672583,24.784,64.45324466,
24.354,-85.75211685,24.811,64.45324466,
24.374,-86.35780043,24.851,64.30949624,
24.421,-86.77168849,24.874,64.30949624,
24.444,-87.36193766,24.901,64.47455716,
24.484,-88.17612743,24.964,64.47455716,
24.521,-88.57406539,24.981,64.86235838,
